country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.83,1.41,11.2,5.36,13.8,3.92,21.4,14.4,0.426,12.8,5.6,2.72,1.45,2.26,2.67,1.84,2.9
Albania,,,,,,,,,,,,,,,,,,,,,5.75,2.95,1.1,-1.25,1.78,5.64,-0.788,-1.42,9.84,-9.58,-28,-7.19,9.56,8.3,13.3,9.1,-10.9,8.83,12.9,6.95,8.29,4.54,5.53,5.51,5.53,5.9,5.98,7.5,3.35,3.71,2.55,1.42,1,1.77,2.22,3.31,3.8,4.07,2.21
Algeria,-13.6,-19.7,34.3,5.84,6.21,-4.8,9.45,10.8,8.43,8.86,-11.3,27.4,3.81,7.49,5.05,8.39,5.26,9.21,7.48,0.791,3,6.4,5.4,5.6,3.7,0.4,-0.7,-1,4.4,0.8,-1.2,1.8,-2.1,-0.9,3.8,4.1,1.1,5.1,3.2,3.8,3,5.6,7.2,4.3,5.9,1.7,3.4,2.4,1.6,3.6,2.9,3.4,2.8,3.8,3.7,3.2,1.3,1.4,0.8
Andorra,,,,,,,,,,,4.65,8.15,7.79,5.62,0.542,3.3,2.84,1.46,0.0416,2.21,-0.132,1.25,1.77,1.78,2.32,3.25,5.55,5.09,4.83,3.78,2.55,0.929,-1.03,2.38,2.76,4.65,9.07,3.19,4.1,3.53,8.12,4.55,8.69,8.14,5.4,4.81,1.55,-5.56,-5.3,-1.97,-0.00807,-4.97,-3.55,2.5,1.43,3.71,0.346,1.59,1.85
Angola,,,,,,,,,,,,,,,,,,,,,-4.4,0,4.2,6,3.5,2.9,4.08,6.13,0.0416,-3.45,0.991,-5.84,-24,1.34,15,13.5,7.27,4.69,2.18,3.05,4.21,13.7,2.99,11,15,11.5,14,11.2,0.859,4.86,3.47,8.54,4.95,4.82,0.944,-2.58,-0.147,-2,-0.869
Antigua and Barbuda,,,,,,,,,,,,,,,,,,4.38,8.08,8.16,3.81,-0.084,5.36,10.2,7.64,11.5,6.63,5.21,5.25,3.01,2.18,1.16,5.28,6.68,-4.36,6.6,5.47,4.73,3.71,6.69,-4.95,1.02,6.06,5.74,6.41,12.7,9.26,-0.0301,-12.1,-7.57,-1.96,3.37,-0.601,3.8,3.83,5.5,3.15,7.39,4.65
Argentina,5.43,-0.852,-5.31,10.1,10.6,-0.66,3.19,4.82,9.68,3.05,5.66,1.63,2.81,5.53,-0.0284,-2.02,6.93,-4.51,10.2,1.52,-5.19,-0.736,4.35,1.57,-5.19,6.15,2.7,-1.09,-7.16,-2.47,9.13,7.94,8.21,5.84,-2.85,5.53,8.11,3.85,-3.39,-0.789,-4.41,-10.9,8.84,9.03,8.85,8.05,9.01,4.06,-5.92,10.1,6,-1.03,2.41,-2.51,2.73,-2.08,2.67,-2.48,-2.16
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.7,-41.8,-8.8,5.4,6.9,5.87,3.32,7.3,3.3,5.9,9.6,13.2,14,10.5,13.9,13.2,13.7,6.9,-14.1,2.2,4.7,7.2,3.3,3.6,3.2,0.2,7.5,5.2,7.6
Australia,2.49,1.3,6.21,6.98,5.98,2.38,6.3,5.1,7.04,7.17,4,3.91,2.61,4.1,1.35,2.59,3.6,0.897,4.04,3.03,3.34,3.33,-2.22,4.58,5.25,4.04,2.55,5.74,3.86,3.57,-0.397,0.413,4.03,3.98,3.84,3.88,3.97,4.58,5.07,3.93,1.93,4,2.99,4.06,3.2,2.79,3.84,3.66,1.94,2.07,2.46,3.92,2.58,2.53,2.19,2.77,2.37,2.94,1.9
Austria,5.54,2.65,4.14,6.12,3.48,5.64,3.01,4.47,6.28,6.32,5.11,6.21,4.89,3.94,-0.364,4.58,5.08,-0.211,5.36,1.73,-0.144,2.01,2.97,0.0513,2.5,2.3,1.36,3.3,3.89,4.35,3.44,2.09,0.527,2.4,2.67,2.35,2.09,3.58,3.56,3.38,1.27,1.65,0.941,2.74,2.24,3.45,3.73,1.46,-3.76,1.84,2.92,0.68,0.0255,0.661,1.01,2.08,2.48,2.42,1.61
